
begin to compute gravity matrix
computing 1-th point: lon=97.500001 lat=26.345977
computing 4825-th point: lon=99.266698 lat=26.312809
computing 7236-th point: lon=100.133298 lat=24.819129
computing 2-th point: lon=97.500001 lat=26.312809
computing 3-th point: lon=97.500001 lat=26.279546
computing 4826-th point: lon=99.266698 lat=26.279546
computing 2413-th point: lon=98.366697 lat=24.819129
computing 7237-th point: lon=100.133298 lat=24.785873
computing 4-th point: lon=97.500001 lat=26.246386
computing 4827-th point: lon=99.266698 lat=26.246386
computing 5-th point: lon=97.500001 lat=26.213219
computing 2414-th point: lon=98.366697 lat=24.785873
computing 4828-th point: lon=99.266698 lat=26.213219
computing 7238-th point: lon=100.133298 lat=24.752719
computing 6-th point: lon=97.500001 lat=26.179955
computing 4829-th point: lon=99.266698 lat=26.179955
computing 7-th point: lon=97.500001 lat=26.146795
computing 2415-th point: lon=98.366697 lat=24.752719
computing 4830-th point: lon=99.266698 lat=26.146795
computing 7239-th point: lon=100.133298 lat=24.719565
computing 8-th point: lon=97.500001 lat=26.113634
computing 4831-th point: lon=99.266698 lat=26.113634
computing 9-th point: lon=97.500001 lat=26.080365
computing 2416-th point: lon=98.366697 lat=24.719565
computing 4832-th point: lon=99.266698 lat=26.080365
computing 7240-th point: lon=100.133298 lat=24.686309
computing 10-th point: lon=97.500001 lat=26.047204
computing 4833-th point: lon=99.266698 lat=26.047204
computing 11-th point: lon=97.500001 lat=26.014043
computing 2417-th point: lon=98.366697 lat=24.686309
computing 7241-th point: lon=100.133298 lat=24.653155
computing 4834-th point: lon=99.266698 lat=26.014043
computing 12-th point: lon=97.500001 lat=25.980780
computing 2418-th point: lon=98.366697 lat=24.653155
computing 13-th point: lon=97.500001 lat=25.947620
computing 4835-th point: lon=99.266698 lat=25.980780
computing 7242-th point: lon=100.133298 lat=24.620002
computing 14-th point: lon=97.500001 lat=25.914459
computing 4836-th point: lon=99.266698 lat=25.947620
computing 2419-th point: lon=98.366697 lat=24.620002
computing 15-th point: lon=97.500001 lat=25.881196
computing 4837-th point: lon=99.266698 lat=25.914459
computing 7243-th point: lon=100.133298 lat=24.586746
computing 16-th point: lon=97.500001 lat=25.848036
computing 4838-th point: lon=99.266698 lat=25.881196
computing 2420-th point: lon=98.366697 lat=24.586746
computing 17-th point: lon=97.500001 lat=25.814868
computing 7244-th point: lon=100.133298 lat=24.553592
computing 4839-th point: lon=99.266698 lat=25.848036
computing 18-th point: lon=97.500001 lat=25.781612
computing 4840-th point: lon=99.266698 lat=25.814868
computing 2421-th point: lon=98.366697 lat=24.553592
computing 19-th point: lon=97.500001 lat=25.748451
computing 7245-th point: lon=100.133298 lat=24.520438
computing 4841-th point: lon=99.266698 lat=25.781612
computing 20-th point: lon=97.500001 lat=25.715291
computing 4842-th point: lon=99.266698 lat=25.748451
computing 21-th point: lon=97.500001 lat=25.682028
computing 7246-th point: lon=100.133298 lat=24.487189
computing 4843-th point: lon=99.266698 lat=25.715291
computing 22-th point: lon=97.500001 lat=25.648867
computing 2422-th point: lon=98.366697 lat=24.520438
computing 23-th point: lon=97.500001 lat=25.615707
computing 4844-th point: lon=99.266698 lat=25.682028
computing 7247-th point: lon=100.133298 lat=24.454035
computing 24-th point: lon=97.500001 lat=25.582451
computing 25-th point: lon=97.500001 lat=25.549290
computing 2423-th point: lon=98.366697 lat=24.487189
computing 7248-th point: lon=100.133298 lat=24.420881
computing 26-th point: lon=97.500001 lat=25.516129
computing 4845-th point: lon=99.266698 lat=25.648867
computing 7249-th point: lon=100.133298 lat=24.387625
computing 2424-th point: lon=98.366697 lat=24.454035
computing 7250-th point: lon=100.133298 lat=24.354478
computing 2425-th point: lon=98.366697 lat=24.420881
computing 4846-th point: lon=99.266698 lat=25.615707
computing 27-th point: lon=97.500001 lat=25.482873
computing 4847-th point: lon=99.266698 lat=25.582451
computing 28-th point: lon=97.500001 lat=25.449713
computing 2426-th point: lon=98.366697 lat=24.387625
computing 7251-th point: lon=100.133298 lat=24.321324
computing 4848-th point: lon=99.266698 lat=25.549290
computing 29-th point: lon=97.500001 lat=25.416552
computing 30-th point: lon=97.500001 lat=25.383296
computing 4849-th point: lon=99.266698 lat=25.516129
computing 7252-th point: lon=100.133298 lat=24.288068
computing 31-th point: lon=97.500001 lat=25.350135
computing 4850-th point: lon=99.266698 lat=25.482873
computing 2427-th point: lon=98.366697 lat=24.354478
computing 32-th point: lon=97.500001 lat=25.316975
computing 4851-th point: lon=99.266698 lat=25.449713
computing 7253-th point: lon=100.133298 lat=24.254921
computing 33-th point: lon=97.500001 lat=25.283719
computing 4852-th point: lon=99.266698 lat=25.416552
computing 2428-th point: lon=98.366697 lat=24.321324
computing 34-th point: lon=97.500001 lat=25.250558
computing 4853-th point: lon=99.266698 lat=25.383296
computing 7254-th point: lon=100.133298 lat=24.221768
computing 35-th point: lon=97.500001 lat=25.217404
computing 4854-th point: lon=99.266698 lat=25.350135
computing 2429-th point: lon=98.366697 lat=24.288068
computing 36-th point: lon=97.500001 lat=25.184148
