1457  3.5947  0.1117  032
98.5925  24.4245  100.0690  23.8785  3.5399
100.2540  25.6093  100.0690  23.8785  3.6339
98.8518  25.8317  100.0690  23.8785  3.6134
98.0709  24.0851  100.0690  23.8785  3.6123
99.2454  24.0357  100.0690  23.8785  3.9124
99.3717  25.8854  100.0690  23.8785  3.5553
98.5197  25.0289  100.0690  23.8785  3.5880
100.1470  24.4348  99.9475  26.1088  3.5178
98.5197  25.0289  99.9475  26.1088  3.5210
98.5925  24.4245  99.9475  26.1088  3.5113
99.2454  24.0357  99.9475  26.1088  3.5318
98.0709  24.0851  99.9475  26.1088  3.5263
98.8518  25.8317  99.9475  26.1088  3.6465
100.0690  23.8785  99.9475  26.1088  3.6006
100.1470  24.4348  99.3717  25.8854  3.5938
99.2454  24.0357  98.5197  25.0289  3.7156
98.0709  24.0851  98.5197  25.0289  3.6816
100.2540  25.6093  98.5197  25.0289  3.5734
100.1470  24.4348  98.5197  25.0289  3.4729
99.3717  25.8854  98.5197  25.0289  3.5731
100.1470  24.4348  98.0709  24.0851  3.6801
99.2454  24.0357  98.0709  24.0851  3.7471
99.3717  25.8854  98.0709  24.0851  3.5373
100.2540  25.6093  98.8518  25.8317  3.4994
98.5197  25.0289  98.8518  25.8317  3.8579
100.1470  24.4348  98.8518  25.8317  3.5552
98.0709  24.0851  98.8518  25.8317  3.6004
98.5925  24.4245  98.8518  25.8317  3.6362
99.2454  24.0357  98.8518  25.8317  3.7679
99.3717  25.8854  99.2454  24.0357  3.5848
98.0709  24.0851  100.2540  25.6093  3.5376
99.2454  24.0357  100.2540  25.6093  3.4636
100.1470  24.4348  100.2540  25.6093  3.5932
99.3717  25.8854  100.2540  25.6093  3.6704
100.1470  24.4348  98.5925  24.4245  3.5763
99.3717  25.8854  98.5925  24.4245  3.5725
100.2540  25.6093  98.5925  24.4245  3.5388
100.8080  24.4547  99.5713  23.7032  3.6255
100.7200  24.6420  99.5713  23.7032  3.4739
100.7810  24.1990  99.5713  23.7032  3.8258
100.8160  25.0395  99.5713  23.7032  3.5182
97.7857  24.1826  99.4801  25.0480  3.5209
97.9350  25.1078  99.4801  25.0480  3.6448
98.0252  24.4972  99.4801  25.0480  3.6864
100.2940  23.5890  99.4801  25.0480  3.7292
100.4690  24.5924  99.4801  25.0480  3.8876
99.0268  23.8963  99.4801  25.0480  3.5827
98.5651  24.1350  99.4801  25.0480  3.4841
97.6622  23.9027  99.4801  25.0480  3.5198
100.8160  25.0395  99.4801  25.0480  3.6356
100.3690  24.1603  99.4801  25.0480  3.7881
98.2175  24.6619  99.4801  25.0480  3.7102
98.3382  24.3368  99.4801  25.0480  3.4358
100.7810  24.1990  99.4801  25.0480  3.5429
100.7200  24.6420  99.4801  25.0480  3.5711
